;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Average of min size of {ask other hypothesis} sent (stddev) ;0.0;
Average of min size of {ask other hypothesis} sent (min) ;3.6666666666666665;
Average of min size of {ask other hypothesis} sent (max) ;3.6666666666666665;
Standard deviation of nb of {ask other hypothesis} sent (avg) ;0.9428090415820634;
Standard deviation of nb of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of nb of {ask other hypothesis} sent (min) ;0.9428090415820634;
Standard deviation of nb of {ask other hypothesis} sent (max) ;0.9428090415820634;
Standard deviation of total size of {ask other hypothesis} sent (avg) ;4.642796092394707;
Standard deviation of total size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of total size of {ask other hypothesis} sent (min) ;4.642796092394707;
Standard deviation of total size of {ask other hypothesis} sent (max) ;4.642796092394707;
Standard deviation of max size of {ask other hypothesis} sent (avg) ;4.642796092394707;
Standard deviation of max size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of max size of {ask other hypothesis} sent (min) ;4.642796092394707;
Standard deviation of max size of {ask other hypothesis} sent (max) ;4.642796092394707;
Standard deviation of min size of {ask other hypothesis} sent (avg) ;4.642796092394707;
Standard deviation of min size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of min size of {ask other hypothesis} sent (min) ;4.642796092394707;
Standard deviation of min size of {ask other hypothesis} sent (max) ;4.642796092394707;
Product of nb of {new neighbour} received (avg) ;8.0;
Product of nb of {new neighbour} received (stddev) ;0.0;
Product of nb of {new neighbour} received (min) ;8;
Product of nb of {new neighbour} received (max) ;8;
Product of total size of {new neighbour} received (avg) ;0.0;
Product of total size of {new neighbour} received (stddev) ;0.0;
Product of total size of {new neighbour} received (min) ;0;
Product of total size of {new neighbour} received (max) ;0;
Product of max size of {new neighbour} received (avg) ;0.0;
Product of max size of {new neighbour} received (stddev) ;0.0;
Product of max size of {new neighbour} received (min) ;0;
Product of max size of {new neighbour} received (max) ;0;
Product of min size of {new neighbour} received (avg) ;0.0;
Product of min size of {new neighbour} received (stddev) ;0.0;
Product of min size of {new neighbour} received (min) ;0;
Product of min size of {new neighbour} received (max) ;0;
Max of nb of {new neighbour} received (avg) ;2.0;
Max of nb of {new neighbour} received (stddev) ;0.0;
Max of nb of {new neighbour} received (min) ;2;
Max of nb of {new neighbour} received (max) ;2;
Max of total size of {new neighbour} received (avg) ;0.0;
Max of total size of {new neighbour} received (stddev) ;0.0;
Max of total size of {new neighbour} received (min) ;0;
Max of total size of {new neighbour} received (max) ;0;
Max of max size of {new neighbour} received (avg) ;0.0;
Max of max size of {new neighbour} received (stddev) ;0.0;
Max of max size of {new neighbour} received (min) ;0;
Max of max size of {new neighbour} received (max) ;0;
Max of min size of {new neighbour} received (avg) ;0.0;
Max of min size of {new neighbour} received (stddev) ;0.0;
Max of min size of {new neighbour} received (min) ;0;
Max of min size of {new neighbour} received (max) ;0;
Min of nb of {new neighbour} received (avg) ;2.0;
Min of nb of {new neighbour} received (stddev) ;0.0;
Min of nb of {new neighbour} received (min) ;2;
Min of nb of {new neighbour} received (max) ;2;
Min of total size of {new neighbour} received (avg) ;0.0;
Min of total size of {new neighbour} received (stddev) ;0.0;
Min of total size of {new neighbour} received (min) ;0;
Min of total size of {new neighbour} received (max) ;0;
Min of max size of {new neighbour} received (avg) ;0.0;
Min of max size of {new neighbour} received (stddev) ;0.0;
Min of max size of {new neighbour} received (min) ;0;
Min of max size of {new neighbour} received (max) ;0;
Min of min size of {new neighbour} received (avg) ;0.0;
Min of min size of {new neighbour} received (stddev) ;0.0;
Min of min size of {new neighbour} received (min) ;0;
Min of min size of {new neighbour} received (max) ;0;
Sum of nb of {new neighbour} received (avg) ;6.0;
Sum of nb of {new neighbour} received (stddev) ;0.0;
Sum of nb of {new neighbour} received (min) ;6;
Sum of nb of {new neighbour} received (max) ;6;
Sum of total size of {new neighbour} received (avg) ;0.0;
Sum of total size of {new neighbour} received (stddev) ;0.0;
Sum of total size of {new neighbour} received (min) ;0;
Sum of total size of {new neighbour} received (max) ;0;
Sum of max size of {new neighbour} received (avg) ;0.0;
Sum of max size of {new neighbour} received (stddev) ;0.0;
Sum of max size of {new neighbour} received (min) ;0;
Sum of max size of {new neighbour} received (max) ;0;
Sum of min size of {new neighbour} received (avg) ;0.0;
Sum of min size of {new neighbour} received (stddev) ;0.0;
Sum of min size of {new neighbour} received (min) ;0;
Sum of min size of {new neighbour} received (max) ;0;
Average of nb of {new neighbour} received (avg) ;2.0;
Average of nb of {new neighbour} received (stddev) ;0.0;
Average of nb of {new neighbour} received (min) ;2.0;
Average of nb of {new neighbour} received (max) ;2.0;
Average of total size of {new neighbour} received (avg) ;0.0;
Average of total size of {new neighbour} received (stddev) ;0.0;
Average of total size of {new neighbour} received (min) ;0.0;
Average of total size of {new neighbour} received (max) ;0;
Average of max size of {new neighbour} received (avg) ;0.0;
Average of max size of {new neighbour} received (stddev) ;0.0;
Average of max size of {new neighbour} received (min) ;0.0;
Average of max size of {new neighbour} received (max) ;0;
Average of min size of {new neighbour} received (avg) ;0.0;
Average of min size of {new neighbour} received (stddev) ;0.0;
Average of min size of {new neighbour} received (min) ;0.0;
Average of min size of {new neighbour} received (max) ;0;
Standard deviation of nb of {new neighbour} received (avg) ;0.0;
Standard deviation of nb of {new neighbour} received (stddev) ;0.0;
Standard deviation of nb of {new neighbour} received (min) ;0.0;
Standard deviation of nb of {new neighbour} received (max) ;0;
Standard deviation of total size of {new neighbour} received (avg) ;0.0;
Standard deviation of total size of {new neighbour} received (stddev) ;0.0;
Standard deviation of total size of {new neighbour} received (min) ;0.0;
Standard deviation of total size of {new neighbour} received (max) ;0;
Standard deviation of max size of {new neighbour} received (avg) ;0.0;
Standard deviation of max size of {new neighbour} received (stddev) ;0.0;
Standard deviation of max size of {new neighbour} received (min) ;0.0;
Standard deviation of max size of {new neighbour} received (max) ;0;
Standard deviation of min size of {new neighbour} received (avg) ;0.0;
Standard deviation of min size of {new neighbour} received (stddev) ;0.0;
Standard deviation of min size of {new neighbour} received (min) ;0.0;
Standard deviation of min size of {new neighbour} received (max) ;0;
Product of nb of {start} received (avg) ;1.0;
Product of nb of {start} received (stddev) ;0.0;
Product of nb of {start} received (min) ;1;
Product of nb of {start} received (max) ;1;
Product of total size of {start} received (avg) ;0.0;
Product of total size of {start} received (stddev) ;0.0;
Product of total size of {start} received (min) ;0;
Product of total size of {start} received (max) ;0;
Product of max size of {start} received (avg) ;0.0;
Product of max size of {start} received (stddev) ;0.0;
Product of max size of {start} received (min) ;0;
Product of max size of {start} received (max) ;0;
Product of min size of {start} received (avg) ;0.0;
Product of min size of {start} received (stddev) ;0.0;
Product of min size of {start} received (min) ;0;
Product of min size of {start} received (max) ;0;
Max of nb of {start} received (avg) ;1.0;
Max of nb of {start} received (stddev) ;0.0;
Max of nb of {start} received (min) ;1;
Max of nb of {start} received (max) ;1;
Max of total size of {start} received (avg) ;0.0;
Max of total size of {start} received (stddev) ;0.0;
Max of total size of {start} received (min) ;0;
Max of total size of {start} received (max) ;0;
Max of max size of {start} received (avg) ;0.0;
Max of max size of {start} received (stddev) ;0.0;
Max of max size of {start} received (min) ;0;
Max of max size of {start} received (max) ;0;
Max of min size of {start} received (avg) ;0.0;
Max of min size of {start} received (stddev) ;0.0;
Max of min size of {start} received (min) ;0;
Max of min size of {start} received (max) ;0;
Min of nb of {start} received (avg) ;1.0;
Min of nb of {start} received (stddev) ;0.0;
Min of nb of {start} received (min) ;1;
Min of nb of {start} received (max) ;1;
Min of total size of {start} received (avg) ;0.0;
Min of total size of {start} received (stddev) ;0.0;
Min of total size of {start} received (min) ;0;
Min of total size of {start} received (max) ;0;
Min of max size of {start} received (avg) ;0.0;
Min of max size of {start} received (stddev) ;0.0;
Min of max size of {start} received (min) ;0;
Min of max size of {start} received (max) ;0;
Min of min size of {start} received (avg) ;0.0;
Min of min size of {start} received (stddev) ;0.0;
Min of min size of {start} received (min) ;0;
Min of min size of {start} received (max) ;0;
Sum of nb of {start} received (avg) ;3.0;
Sum of nb of {start} received (stddev) ;0.0;
Sum of nb of {start} received (min) ;3;
Sum of nb of {start} received (max) ;3;
Sum of total size of {start} received (avg) ;0.0;
Sum of total size of {start} received (stddev) ;0.0;
Sum of total size of {start} received (min) ;0;
Sum of total size of {start} received (max) ;0;
Sum of max size of {start} received (avg) ;0.0;
Sum of max size of {start} received (stddev) ;0.0;
Sum of max size of {start} received (min) ;0;
Sum of max size of {start} received (max) ;0;
Sum of min size of {start} received (avg) ;0.0;
Sum of min size of {start} received (stddev) ;0.0;
Sum of min size of {start} received (min) ;0;
Sum of min size of {start} received (max) ;0;
Average of nb of {start} received (avg) ;1.0;
Average of nb of {start} received (stddev) ;0.0;
Average of nb of {start} received (min) ;1.0;
Average of nb of {start} received (max) ;1.0;
Average of total size of {start} received (avg) ;0.0;
Average of total size of {start} received (stddev) ;0.0;
Average of total size of {start} received (min) ;0.0;
Average of total size of {start} received (max) ;0;
Average of max size of {start} received (avg) ;0.0;
Average of max size of {start} received (stddev) ;0.0;
Average of max size of {start} received (min) ;0.0;
Average of max size of {start} received (max) ;0;
Average of min size of {start} received (avg) ;0.0;
Average of min size of {start} received (stddev) ;0.0;
Average of min size of {start} received (min) ;0.0;
Average of min size of {start} received (max) ;0;
Standard deviation of nb of {start} received (avg) ;0.0;
Standard deviation of nb of {start} received (stddev) ;0.0;
Standard deviation of nb of {start} received (min) ;0.0;
Standard deviation of nb of {start} received (max) ;0;
Standard deviation of total size of {start} received (avg) ;0.0;
Standard deviation of total size of {start} received (stddev) ;0.0;
Standard deviation of total size of {start} received (min) ;0.0;
Standard deviation of total size of {start} received (max) ;0;
Standard deviation of max size of {start} received (avg) ;0.0;
Standard deviation of max size of {start} received (stddev) ;0.0;
Standard deviation of max size of {start} received (min) ;0.0;
Standard deviation of max size of {start} received (max) ;0;
Standard deviation of min size of {start} received (avg) ;0.0;
Standard deviation of min size of {start} received (stddev) ;0.0;
Standard deviation of min size of {start} received (min) ;0.0;
Standard deviation of min size of {start} received (max) ;0;
Product of nb of {launch} received (avg) ;1.0;
Product of nb of {launch} received (stddev) ;0.0;
Product of nb of {launch} received (min) ;1;
Product of nb of {launch} received (max) ;1;
Product of total size of {launch} received (avg) ;0.0;
Product of total size of {launch} received (stddev) ;0.0;
Product of total size of {launch} received (min) ;0;
Product of total size of {launch} received (max) ;0;
Product of max size of {launch} received (avg) ;0.0;
Product of max size of {launch} received (stddev) ;0.0;
Product of max size of {launch} received (min) ;0;
Product of max size of {launch} received (max) ;0;
Product of min size of {launch} received (avg) ;0.0;
Product of min size of {launch} received (stddev) ;0.0;
Product of min size of {launch} received (min) ;0;
Product of min size of {launch} received (max) ;0;
Max of nb of {launch} received (avg) ;1.0;
Max of nb of {launch} received (stddev) ;0.0;
Max of nb of {launch} received (min) ;1;
Max of nb of {launch} received (max) ;1;
Max of total size of {launch} received (avg) ;0.0;
Max of total size of {launch} received (stddev) ;0.0;
Max of total size of {launch} received (min) ;0;
Max of total size of {launch} received (max) ;0;
Max of max size of {launch} received (avg) ;0.0;
Max of max size of {launch} received (stddev) ;0.0;
Max of max size of {launch} received (min) ;0;
Max of max size of {launch} received (max) ;0;
Max of min size of {launch} received (avg) ;0.0;
Max of min size of {launch} received (stddev) ;0.0;
Max of min size of {launch} received (min) ;0;
Max of min size of {launch} received (max) ;0;
Min of nb of {launch} received (avg) ;-1.0;
Min of nb of {launch} received (stddev) ;0.0;
Min of nb of {launch} received (min) ;-1;
Min of nb of {launch} received (max) ;0;
Min of total size of {launch} received (avg) ;-1.0;
Min of total size of {launch} received (stddev) ;0.0;
Min of total size of {launch} received (min) ;-1;
Min of total size of {launch} received (max) ;0;
Min of max size of {launch} received (avg) ;-1.0;
Min of max size of {launch} received (stddev) ;0.0;
Min of max size of {launch} received (min) ;-1;
Min of max size of {launch} received (max) ;0;
